"mean_k","filing_year","Ctry_code"
20.3785936225069,1999.65551839465,"Germany"
17.2263544182891,1999.65551839465,"Switzerland"
31.5567944049542,1999.65551839465,"United States"
25.7584967630527,1999.65551839465,"China"
32.4312223241778,1999.75919732441,"Japan"
20.5216574007292,1999.75919732441,"Germany"
17.3468682526986,1999.75919732441,"Switzerland"
31.9030944997725,1999.75919732441,"United States"
26.153113768828,1999.75919732441,"China"
32.5482325344669,1999.86287625418,"Japan"
20.6647211789514,1999.86287625418,"Germany"
17.4673820871082,1999.86287625418,"Switzerland"
32.2493945945907,1999.86287625418,"United States"
26.5477307746033,1999.86287625418,"China"
32.665242744756,1999.96655518395,"Japan"
20.8077849571736,1999.96655518395,"Germany"
17.5878959215177,1999.96655518395,"Switzerland"
32.595694689409,1999.96655518395,"United States"
26.9423477803786,1999.96655518395,"China"
32.7730786976522,2000.07023411371,"Japan"
20.9309991202585,2000.07023411371,"Germany"
17.6999381784917,2000.07023411371,"Switzerland"
32.8737449589344,2000.07023411371,"United States"
27.3074243475614,2000.07023411371,"China"
32.8765459565518,2000.17391304348,"Japan"
21.044761085659,2000.17391304348,"Germany"
17.8079463509726,2000.17391304348,"Switzerland"
33.1192953116537,2000.17391304348,"United States"
27.658434039224,2000.17391304348,"China"
32.9800132154513,2000.27759197324,"Japan"
21.1585230510594,2000.27759197324,"Germany"
17.9159545234535,2000.27759197324,"Switzerland"
33.364845664373,2000.27759197324,"United States"
28.0094437308866,2000.27759197324,"China"
33.0834804743509,2000.38127090301,"Japan"
21.2722850164599,2000.38127090301,"Germany"
18.0239626959344,2000.38127090301,"Switzerland"
33.6103960170924,2000.38127090301,"United States"
28.3604534225492,2000.38127090301,"China"
33.1869477332504,2000.48494983278,"Japan"
21.3860469818603,2000.48494983278,"Germany"
18.1319708684153,2000.48494983278,"Switzerland"
33.8559463698117,2000.48494983278,"United States"
28.7114631142118,2000.48494983278,"China"
33.29041499215,2000.58862876254,"Japan"
21.4998089472607,2000.58862876254,"Germany"
18.2399790408962,2000.58862876254,"Switzerland"
34.101496722531,2000.58862876254,"United States"
29.0624728058743,2000.58862876254,"China"
33.3938822510496,2000.69230769231,"Japan"
21.6135709126612,2000.69230769231,"Germany"
18.3479872133771,2000.69230769231,"Switzerland"
34.3470470752503,2000.69230769231,"United States"
29.4134824975369,2000.69230769231,"China"
33.4973495099491,2000.79598662207,"Japan"
21.7273328780616,2000.79598662207,"Germany"
18.455995385858,2000.79598662207,"Switzerland"
34.5925974279697,2000.79598662207,"United States"
29.7644921891995,2000.79598662207,"China"
33.6008167688487,2000.89966555184,"Japan"
21.8410948434621,2000.89966555184,"Germany"
18.5640035583389,2000.89966555184,"Switzerland"
34.838147780689,2000.89966555184,"United States"
30.1155018808621,2000.89966555184,"China"
33.7030294810034,2001.00334448161,"Japan"
21.9549923220785,2001.00334448161,"Germany"
18.6718159623333,2001.00334448161,"Switzerland"
35.0816977727406,2001.00334448161,"United States"
30.4602978246883,2001.00334448161,"China"
33.7676057908136,2001.10702341137,"Japan"
22.0729551971753,2001.10702341137,"Germany"
18.7737553117317,2001.10702341137,"Switzerland"
35.2652369447617,2001.10702341137,"United States"
30.6186813334214,2001.10702341137,"China"
33.8321821006238,2001.21070234114,"Japan"
22.1909180722721,2001.21070234114,"Germany"
18.8756946611301,2001.21070234114,"Switzerland"
35.4487761167827,2001.21070234114,"United States"
30.7770648421545,2001.21070234114,"China"
33.896758410434,2001.3143812709,"Japan"
22.3088809473689,2001.3143812709,"Germany"
18.9776340105286,2001.3143812709,"Switzerland"
35.6323152888037,2001.3143812709,"United States"
30.9354483508876,2001.3143812709,"China"
33.9613347202442,2001.41806020067,"Japan"
22.4268438224657,2001.41806020067,"Germany"
19.079573359927,2001.41806020067,"Switzerland"
35.8158544608248,2001.41806020067,"United States"
31.0938318596207,2001.41806020067,"China"
34.0259110300544,2001.52173913043,"Japan"
22.5448066975625,2001.52173913043,"Germany"
19.1815127093254,2001.52173913043,"Switzerland"
35.9993936328458,2001.52173913043,"United States"
31.2522153683538,2001.52173913043,"China"
34.0904873398646,2001.6254180602,"Japan"
22.6627695726594,2001.6254180602,"Germany"
19.2834520587238,2001.6254180602,"Switzerland"
36.1829328048668,2001.6254180602,"United States"
31.410598877087,2001.6254180602,"China"
34.1550636496748,2001.72909698997,"Japan"
22.7807324477562,2001.72909698997,"Germany"
19.3853914081222,2001.72909698997,"Switzerland"
36.3664719768879,2001.72909698997,"United States"
31.5689823858201,2001.72909698997,"China"
34.219639959485,2001.83277591973,"Japan"
22.898695322853,2001.83277591973,"Germany"
19.4873307575206,2001.83277591973,"Switzerland"
36.5500111489089,2001.83277591973,"United States"
31.7273658945532,2001.83277591973,"China"
34.2842162692952,2001.9364548495,"Japan"
23.0166581979498,2001.9364548495,"Germany"
19.5892701069191,2001.9364548495,"Switzerland"
36.7335503209299,2001.9364548495,"United States"
31.8857494032863,2001.9364548495,"China"
34.3435946887566,2002.04013377926,"Japan"
23.1352328409314,2002.04013377926,"Germany"
19.6893611866286,2002.04013377926,"Switzerland"
36.8994378461132,2002.04013377926,"United States"
32.1080141290087,2002.04013377926,"China"
34.3947431151657,2002.14381270903,"Japan"
23.2547761163975,2002.14381270903,"Germany"
19.7865258393307,2002.14381270903,"Switzerland"
37.0373769304701,2002.14381270903,"United States"
32.4314241149643,2002.14381270903,"China"
34.4458915415748,2002.2474916388,"Japan"
23.3743193918635,2002.2474916388,"Germany"
19.8836904920329,2002.2474916388,"Switzerland"
37.175316014827,2002.2474916388,"United States"
32.7548341009198,2002.2474916388,"China"
34.4970399679839,2002.35117056856,"Japan"
23.4938626673295,2002.35117056856,"Germany"
19.980855144735,2002.35117056856,"Switzerland"
37.3132550991839,2002.35117056856,"United States"
33.0782440868754,2002.35117056856,"China"
34.548188394393,2002.45484949833,"Japan"
23.6134059427955,2002.45484949833,"Germany"
20.0780197974371,2002.45484949833,"Switzerland"
37.4511941835407,2002.45484949833,"United States"
33.401654072831,2002.45484949833,"China"
34.5993368208021,2002.55852842809,"Japan"
23.7329492182616,2002.55852842809,"Germany"
20.1751844501393,2002.55852842809,"Switzerland"
37.5891332678976,2002.55852842809,"United States"
33.7250640587865,2002.55852842809,"China"
34.6504852472112,2002.66220735786,"Japan"
23.8524924937276,2002.66220735786,"Germany"
20.2723491028414,2002.66220735786,"Switzerland"
37.7270723522545,2002.66220735786,"United States"
34.0484740447421,2002.66220735786,"China"
34.7016336736203,2002.76588628763,"Japan"
23.9720357691936,2002.76588628763,"Germany"
20.3695137555435,2002.76588628763,"Switzerland"
37.8650114366114,2002.76588628763,"United States"
34.3718840306976,2002.76588628763,"China"
34.7527821000294,2002.86956521739,"Japan"
24.0915790446596,2002.86956521739,"Germany"
20.4666784082457,2002.86956521739,"Switzerland"
38.0029505209683,2002.86956521739,"United States"
34.6952940166532,2002.86956521739,"China"
34.8039305264385,2002.97324414716,"Japan"
24.2111223201257,2002.97324414716,"Germany"
20.5638430609478,2002.97324414716,"Switzerland"
38.1408896053252,2002.97324414716,"United States"
35.0187040026087,2002.97324414716,"China"
34.8832255740444,2003.07692307692,"Japan"
